,address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct,lon,lat
392088,Solkrogen 1,9000 Aalborg,960000,1992-12-30,Alm. Salg,3902.0,8.0,Villa,246.0,1937.0,0.0,9.897586,57.047554
392089,Gravenstenvej 30,9000 Aalborg,747150,1992-12-22,Alm. Salg,5747.0,5.0,Villa,130.0,1977.0,0.0,9.862317000000001,57.041651
392090,Kong Christians Alle 55,9000 Aalborg,650705,1992-12-21,Andet,3739.0,3.0,Villa,174.0,1937.0,0.0,9.904436,57.044571
392091,Kærvangs Alle 25A,9000 Aalborg,685000,1992-12-17,Alm. Salg,5854.0,5.0,Villa,117.0,1962.0,0.0,9.920617,57.029897
392092,Nørre Tranders Vej 81,9000 Aalborg,343512,1992-12-16,Alm. Salg,2726.0,3.0,Villa,126.0,1968.0,0.0,9.963237,57.037601
392093,"Ågade 34, 3. TV",9000 Aalborg,194694,1992-12-14,Alm. Salg,1802.0,3.0,Lejlighed,108.0,1916.0,0.0,9.920895,57.042669
392094,Mariendalsvej 1A,9000 Aalborg,297825,1992-12-10,Alm. Salg,,4.0,Villa,99.0,1950.0,0.0,9.953406,57.034201
392095,Elisabethsvej 9,9000 Aalborg,790000,1992-12-03,Alm. Salg,4488.0,6.0,Villa,176.0,1934.0,0.0,9.893536,57.047228
392096,Strøybergsvej 70B,9000 Aalborg,1041029,1992-12-03,Alm. Salg,,3.0,Rækkehus,147.0,1934.0,0.0,9.882931,57.042373
392097,Heilskovsgade 14,9000 Aalborg,733000,1992-12-02,Alm. Salg,,6.0,Rækkehus,123.0,1927.0,0.0,9.943893,57.036073
392098,Kvædevej 7,9000 Aalborg,340000,1992-11-27,Alm. Salg,3207.0,4.0,Villa,106.0,1973.0,0.0,9.870635,57.046817
392099,Bellahøj 13,9000 Aalborg,680000,1992-11-20,Alm. Salg,,4.0,Villa,118.0,1976.0,0.0,9.961188,57.036753
392100,"Jakob Skomager Vej 2, 1. TH",9000 Aalborg,615600,1992-11-16,Alm. Salg,5261.0,4.0,Lejlighed,117.0,1977.0,0.0,9.876794,57.039819
392101,"Enggårdsgade 58, 2. TV",9000 Aalborg,515000,1992-11-10,Alm. Salg,4478.0,4.0,Lejlighed,115.0,1966.0,0.0,9.913433,57.027907
392102,Myrensvej 2,9000 Aalborg,540000,1992-11-09,Alm. Salg,,5.0,Villa,130.0,1958.0,0.0,9.874542,57.046557
392103,Nylandsvej 8B,9000 Aalborg,590917,1992-11-08,Alm. Salg,,3.0,Rækkehus,112.0,1983.0,0.0,9.913765,57.026816
392104,"Christiansgade 9, 2",9000 Aalborg,337000,1992-11-06,Alm. Salg,5349.0,2.0,Lejlighed,63.0,1900.0,0.0,9.916848,57.045157
392105,Ny Kærvej 5,9000 Aalborg,600000,1992-11-05,Alm. Salg,4285.0,6.0,Villa,140.0,1931.0,0.0,9.915257,57.033121
392106,"Malurtvej 23, 2. TH",9000 Aalborg,356431,1992-11-04,Alm. Salg,,3.0,Lejlighed,74.0,1971.0,0.0,9.899832,57.02409
392107,"Ærøgade 7, ST. TH",9000 Aalborg,280000,1992-11-03,Alm. Salg,4375.0,2.0,Lejlighed,64.0,1936.0,0.0,9.942436,57.042535
392108,Ingridsvej 23,9000 Aalborg,637000,1992-10-30,Alm. Salg,,7.0,Villa,168.0,1983.0,0.0,9.887373,57.046451
392109,"Blegdalsparken 41B, 1. TV",9000 Aalborg,445000,1992-10-29,Alm. Salg,4784.0,4.0,Lejlighed,93.0,1979.0,0.0,9.889659,57.031989
392110,Ingridsvej 8A,9000 Aalborg,245000,1992-10-29,Alm. Salg,1701.0,5.0,Villa,144.0,1994.0,0.0,9.888466,57.045634
392111,"Algade 50, 2",9000 Aalborg,2190000,1992-10-29,Auktion,,3.0,Lejlighed,96.0,1900.0,0.0,9.917534,57.04819
392112,Gravenstenvej 7,9000 Aalborg,676750,1992-10-23,Alm. Salg,4151.0,6.0,Villa,163.0,1979.0,0.0,9.861448,57.039877
392113,Under Lien 3,9000 Aalborg,600200,1992-10-21,Alm. Salg,,5.0,Villa,202.0,1925.0,0.0,9.872196,57.040518
392114,Mester Eriks Vej 29,9000 Aalborg,279526,1992-10-21,Fam. Salg,,5.0,Villa,146.0,1931.0,0.0,9.871329,57.03734
392115,Filippavej 8,9000 Aalborg,730000,1992-10-20,Alm. Salg,5447.0,4.0,Villa,134.0,1972.0,0.0,9.864037,57.03951
392116,Hobrovej 33,9000 Aalborg,951000,1992-10-19,Alm. Salg,,8.0,Villa,303.0,1912.0,0.0,9.910389,57.038187
392117,Ferskenvej 14,9000 Aalborg,700000,1992-10-17,Alm. Salg,5263.0,5.0,Villa,133.0,1972.0,0.0,9.861144,57.038049
392118,"Sankt Jørgens Gade 8, 4. TH",9000 Aalborg,350000,1992-10-13,Alm. Salg,5555.0,2.0,Lejlighed,63.0,1970.0,0.0,9.912469,57.046928
392119,Mågevej 25,9000 Aalborg,490000,1992-10-13,Alm. Salg,3475.0,6.0,Villa,141.0,1934.0,0.0,9.932601,57.027893
392120,Hasserisvej 259,9000 Aalborg,560000,1992-10-08,Alm. Salg,,6.0,Rækkehus,135.0,1954.0,0.0,9.883101,57.033411
